name,wins,losses,weight,rating,Gfactor
Helio Dipp,6,3,185 lbs.,55.42165909709045,32.64002301168613
Rico DiSciullo,9,2,135 lbs.,61.73652297962625,58.73760273130314
Matt Dixon,9,1,170 lbs.,63.10977689073931,70.4626768672369
John Dixson,15,22,275 lbs.,44.72951555425778,25.540294325017456
Anthony Do,4,2,125 lbs.,52.89316618261452,29.109417447117895
Russell Doane,15,8,135 lbs.,60.8634960493582,52.73386017061742
Drew Dober,27,14,155 lbs.,58.89456575748578,42.584549627848354
Shana Dobson,4,5,125 lbs.,49.51492537365116,26.779910554051042
AJ Dobson,7,3,185 lbs.,57.159457276285394,36.635822717746755
David Dodd,4,7,200 lbs.,47.38350379029805,26.047243530650736
John Dodson,22,12,135 lbs.,59.92837953751045,47.383737563369785
Joe Doerksen,51,16,185 lbs.,58.17791222464768,39.84285310604611
Mike Dolce,5,10,185 lbs.,45.96076085914788,25.734563482113202
Roman Dolidze,14,3,185 lbs.,66.90765054945909,119.7434879343712
Cameron Dollar,11,5,155 lbs.,60.550040847060814,50.82343725273777
CB Dollaway,17,9,185 lbs.,61.131224516934694,54.46511932755815
Dennis Dombrow,7,5,145 lbs.,54.69896884755284,31.404150977284544
OJ Dominguez,0,1,--,45.85221283431107,25.714944537346337
John Donaldson,2,2,145 lbs.,48.92530062873384,26.537212050237265
Dong Huaxiang,12,3,115 lbs.,64.57627001778874,86.47065209547401
Cody Donovan,8,5,205 lbs.,56.28667230453116,34.426497814263044
Houston Dorr,1,2,210 lbs.,46.89569853498966,25.92738270589456
Rafael Dos Anjos,32,17,170 lbs.,55.96694401031654,33.72340223243323
